nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1310, 6.999999954E+00, 2.903705176E+00, 1.062852872E-04,-3.563287557E-03, 4.707744346E-06, 1.434583136E-03, 1.069366763E-04, 4.974201969E-05,-2.915775111E-04, 1.120343586E-03
      1311, 8.999999951E+00, 2.903705219E+00, 7.638806429E-04,-3.339222598E-03, 1.261354735E-05, 4.790600684E-04, 1.172830217E-03, 3.583210510E-04,-4.137141852E-03,-2.273365948E-05
      1312, 1.099999988E+01, 2.903705176E+00, 4.866923454E-03,-2.219384373E-03, 6.472534779E-05, 1.374205454E-03, 2.433536652E-03, 6.095667378E-04,-1.142398182E-02,-1.669252011E-03
      1313, 1.299999997E+01, 2.903705176E+00, 9.562328192E-03,-1.133562507E-03, 1.123929090E-04, 2.186539838E-03, 2.170791573E-03, 4.631305205E-04,-1.350814865E-02,-1.780484364E-03
      1314, 4.999999929E+00, 2.948028158E+00,-2.524694566E-04,-3.706260627E-03, 5.472533837E-06, 2.627593788E-03, 2.143190598E-04, 1.395696252E-04,-2.630183493E-04, 1.043015261E-03
      1315, 6.999999954E+00, 2.948028158E+00, 9.349056637E-05,-3.514450405E-03, 4.613726632E-06, 1.549620782E-03, 1.083762180E-04, 5.097118306E-05,-2.858144983E-04, 1.083884769E-03
      1316, 8.999999951E+00, 2.948028202E+00, 6.011832099E-04,-3.335141047E-03, 1.010426214E-05, 4.453239723E-04, 9.273362544E-04, 2.887592889E-04,-3.216760737E-03, 2.041380298E-04
      1317, 1.099999988E+01, 2.948028158E+00, 4.375899270E-03,-2.291134182E-03, 5.798363691E-05, 1.293032953E-03, 2.346913483E-03, 5.969684443E-04,-1.074248846E-02,-1.569776847E-03
      1318, 1.299999997E+01, 2.948028158E+00, 8.974731034E-03,-1.211573960E-03, 1.051788566E-04, 2.113246248E-03, 2.151134621E-03, 4.660430046E-04,-1.301329820E-02,-1.740230796E-03
      1319, 4.999999929E+00, 2.992992659E+00,-2.637858529E-04,-3.659953350E-03, 5.309149524E-06, 2.573696981E-03, 2.058846572E-04, 1.363833192E-04,-2.406500020E-04, 1.017085036E-03
