nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
       100, 7.530533116E-01, 9.222243276E-17, 1.341522434E+00, 1.393594420E-03, 3.896461004E-02, 1.724516019E-03,-1.041122581E+00, 1.909969326E-03,-1.038790095E+00, 5.138004533E-01
       101, 7.655768753E-01, 9.375612698E-17, 1.328386712E+00, 1.415369670E-03, 4.018342182E-02, 1.783352577E-03,-1.056444430E+00, 1.578435153E-03,-1.008037275E+00, 5.216199607E-01
       102, 7.782381981E-01, 9.530669183E-17, 1.314929391E+00, 1.433311831E-03, 4.139727339E-02, 1.844184432E-03,-1.069144322E+00, 1.259426851E-03,-9.764233322E-01, 5.281001990E-01
       103, 7.910387955E-01, 9.687431289E-17, 1.301179150E+00, 1.447405999E-03, 4.259748562E-02, 1.906812501E-03,-1.079118490E+00, 9.458402818E-04,-9.440843314E-01, 5.331787781E-01
       104, 8.039801995E-01, 9.845917779E-17, 1.287166829E+00, 1.457637542E-03, 4.377551451E-02, 1.970928048E-03,-1.086286823E+00, 6.372298829E-04,-9.108643308E-01, 5.368252289E-01
       105, 8.170639589E-01, 1.000614762E-16, 1.272925104E+00, 1.464029901E-03, 4.492314732E-02, 2.036252713E-03,-1.090661074E+00, 3.470889864E-04,-8.765968390E-01, 5.390750684E-01
       106, 8.302916397E-01, 1.016813999E-16, 1.258486508E+00, 1.466861394E-03, 4.603273317E-02, 2.102580668E-03,-1.092414059E+00, 8.589830121E-05,-8.416695822E-01, 5.400280769E-01
       107, 8.436648250E-01, 1.033191427E-16, 1.243882070E+00, 1.466385651E-03, 4.709730506E-02, 2.169743755E-03,-1.091721728E+00,-1.538386725E-04,-8.065498952E-01, 5.397667664E-01
       108, 8.571851153E-01, 1.049749008E-16, 1.229141905E+00, 1.462772121E-03, 4.811058443E-02, 2.237530890E-03,-1.088784030E+00,-3.761701179E-04,-7.715718886E-01, 5.384012229E-01
       109, 8.708541288E-01, 1.066488721E-16, 1.214294149E+00, 1.456159207E-03, 4.906703481E-02, 2.305727535E-03,-1.083739725E+00,-5.960984581E-04,-7.369985068E-01, 5.360329184E-01
       110, 8.846735014E-01, 1.083412572E-16, 1.199367360E+00, 1.446486018E-03, 4.996192040E-02, 2.374132950E-03,-1.076560968E+00,-7.937053040E-04,-7.029200146E-01, 5.326067247E-01
       111, 8.986448871E-01, 1.100522585E-16, 1.184390414E+00, 1.434365095E-03, 5.079139044E-02, 2.442562671E-03,-1.067500625E+00,-9.296521897E-04,-6.695490248E-01, 5.282023551E-01
       112, 9.127699581E-01, 1.117820808E-16, 1.169387137E+00, 1.420492290E-03, 5.155242497E-02, 2.510845852E-03,-1.056993393E+00,-1.039897650E-03,-6.372548278E-01, 5.230627222E-01
       113, 9.270504049E-01, 1.135309311E-16, 1.154378102E+00, 1.404801952E-03, 5.224270661E-02, 2.578822717E-03,-1.045172824E+00,-1.157169847E-03,-6.061317018E-01, 5.172786865E-01
       114, 9.414879366E-01, 1.152990188E-16, 1.139384200E+00, 1.387282731E-03, 5.286060985E-02, 2.646345721E-03,-1.032031741E+00,-1.267579853E-03,-5.761200437E-01, 5.108481145E-01
       115, 9.560842811E-01, 1.170865555E-16, 1.124426269E+00, 1.368088860E-03, 5.340522574E-02, 2.713281579E-03,-1.017660199E+00,-1.358441223E-03,-5.472105829E-01, 5.038026061E-01
       116, 9.708411854E-01, 1.188937550E-16, 1.109523688E+00, 1.347525564E-03, 5.387633222E-02, 2.779511788E-03,-1.002261746E+00,-1.424989640E-03,-5.194574845E-01, 4.962393877E-01
       117, 9.857604157E-01, 1.207208338E-16, 1.094693167E+00, 1.325869393E-03, 5.427430540E-02, 2.844931558E-03,-9.860306521E-01,-1.479507700E-03,-4.929183578E-01, 4.882535257E-01
       118, 1.000843758E+00, 1.225680104E-16, 1.079949887E+00, 1.303184630E-03, 5.460002133E-02, 2.909448471E-03,-9.690469631E-01,-1.527251699E-03,-4.675983325E-01, 4.798890934E-01
       119, 1.016093016E+00, 1.244355060E-16, 1.065308284E+00, 1.279650651E-03, 5.485481219E-02, 2.972982421E-03,-9.514539618E-01,-1.554573237E-03,-4.434815936E-01, 4.712305806E-01
       120, 1.031510016E+00, 1.263235440E-16, 1.050779956E+00, 1.255605189E-03, 5.504054349E-02, 3.035472586E-03,-9.334753288E-01,-1.565286279E-03,-4.205737355E-01, 4.623830346E-01
       121, 1.047096604E+00, 1.282323504E-16, 1.036374231E+00, 1.231152176E-03, 5.515957254E-02, 3.096878873E-03,-9.151954649E-01,-1.573084936E-03,-3.988471421E-01, 4.533739839E-01
       122, 1.062854644E+00, 1.301621537E-16, 1.022100293E+00, 1.206331944E-03, 5.521238528E-02, 3.157050664E-03,-8.966443524E-01,-1.575486958E-03,-3.782433506E-01, 4.442229916E-01
       123, 1.078786022E+00, 1.321131849E-16, 1.007966391E+00, 1.181265268E-03, 5.520265161E-02, 3.216014997E-03,-8.779155968E-01,-1.571723635E-03,-3.587057356E-01, 4.349820219E-01
       124, 1.094892646E+00, 1.340856774E-16, 9.939795915E-01, 1.156010203E-03, 5.513472886E-02, 3.273836872E-03,-8.590563765E-01,-1.564152283E-03,-3.401893017E-01, 4.256732788E-01
       125, 1.111176442E+00, 1.360798673E-16, 9.801467103E-01, 1.130657395E-03, 5.500937629E-02, 3.330375045E-03,-8.401271398E-01,-1.547933395E-03,-3.226582549E-01, 4.163241777E-01
       126, 1.127639360E+00, 1.380959933E-16, 9.664729550E-01, 1.105370408E-03, 5.482997570E-02, 3.385640658E-03,-8.212453313E-01,-1.524630924E-03,-3.060780236E-01, 4.069968775E-01
       127, 1.144283370E+00, 1.401342967E-16, 9.529621070E-01, 1.080206315E-03, 5.459968385E-02, 3.439633480E-03,-8.024676754E-01,-1.499256177E-03,-2.904061547E-01, 3.977176554E-01
       128, 1.161110464E+00, 1.421950214E-16, 9.396175368E-01, 1.055208386E-03, 5.432082257E-02, 3.492307204E-03,-7.838200071E-01,-1.472110022E-03,-2.755925186E-01, 3.885013413E-01
       129, 1.178122657E+00, 1.442784141E-16, 9.264420471E-01, 1.030408820E-03, 5.399655635E-02, 3.543671749E-03,-7.653256599E-01,-1.443780312E-03,-2.615877687E-01, 3.793586394E-01
       130, 1.195321983E+00, 1.463847241E-16, 9.134381848E-01, 1.005840433E-03, 5.362992286E-02, 3.593735090E-03,-7.470102635E-01,-1.412719751E-03,-2.483462469E-01, 3.703022715E-01
       131, 1.212710502E+00, 1.485142035E-16, 9.006077796E-01, 9.815745643E-04, 5.322387105E-02, 3.642505663E-03,-7.289233497E-01,-1.378520124E-03,-2.358298322E-01, 3.613580622E-01
