nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
       823, 1.299999997E+01, 5.903437875E-01, 8.217693673E-02, 1.596736488E-03, 7.116397591E-04, 3.283605818E-03,-3.922220220E-03,-1.680456428E-04,-4.783230849E-02, 1.217340821E-03
       824, 4.999999929E+00, 6.011838108E-01, 9.208752516E-02, 1.825921546E-03, 2.498659142E-03, 2.675757997E-03, 1.144020358E-02, 1.182539329E-03,-2.640069691E-01,-1.447878470E-02
       825, 6.999999954E+00, 6.011838108E-01, 1.013086679E-01, 2.688851229E-03, 1.888643408E-03, 3.064037010E-03,-4.371131785E-05,-6.703336913E-06,-1.686056606E-01,-4.429612767E-03
       826, 8.999999951E+00, 6.011838198E-01, 9.716946475E-02, 2.408747292E-03, 1.333291495E-03, 3.203783052E-03,-3.363386101E-03,-2.079264566E-04,-1.073305396E-01,-6.436687622E-04
       827, 1.099999988E+01, 6.011838108E-01, 8.956273636E-02, 1.982945611E-03, 9.578165850E-04, 3.258584791E-03,-4.011171756E-03,-2.051451798E-04,-7.064302089E-02, 7.125569115E-04
       828, 1.299999997E+01, 6.011838108E-01, 8.165597665E-02, 1.609562599E-03, 7.108506099E-04, 3.281435662E-03,-3.827510963E-03,-1.670067481E-04,-4.827927520E-02, 1.150061229E-03
       829, 4.999999929E+00, 6.121807297E-01, 8.920667367E-02, 1.665250883E-03, 2.427659594E-03, 2.641229068E-03, 1.201697766E-02, 1.265604084E-03,-2.599886884E-01,-1.473851938E-02
       830, 6.999999954E+00, 6.121807297E-01, 9.945822716E-02, 2.638681978E-03, 1.864676889E-03, 3.047534610E-03, 3.798449159E-04, 2.651683769E-05,-1.679419080E-01,-4.690877069E-03
       831, 8.999999951E+00, 6.121807388E-01, 9.598776023E-02, 2.400711744E-03, 1.325262310E-03, 3.195625193E-03,-3.106668237E-03,-1.956791787E-04,-1.075814242E-01,-8.152967006E-04
       832, 1.099999988E+01, 6.121807297E-01, 8.878338968E-02, 1.990181704E-03, 9.550937421E-04, 3.254343314E-03,-3.856197502E-03,-2.008575079E-04,-7.108966332E-02, 6.050098999E-04
       833, 1.299999997E+01, 6.121807297E-01, 8.112262385E-02, 1.621828647E-03, 7.099680018E-04, 3.279112303E-03,-3.731130276E-03,-1.657876367E-04,-4.871506871E-02, 1.081735280E-03
       834, 4.999999929E+00, 6.233368149E-01, 8.632977096E-02, 1.499481722E-03, 2.355712222E-03, 2.605494942E-03, 1.256933363E-02, 1.348593104E-03,-2.558259879E-01,-1.497622832E-02
       835, 6.999999954E+00, 6.233368149E-01, 9.758892496E-02, 2.584896996E-03, 1.839808794E-03, 3.030241693E-03, 8.000998351E-04, 6.068917738E-05,-1.671868871E-01,-4.947706090E-03
       836, 8.999999951E+00, 6.233368242E-01, 9.478642207E-02, 2.390644869E-03, 1.316777515E-03, 3.186998598E-03,-2.848642810E-03,-1.828191548E-04,-1.077847817E-01,-9.869695825E-04
       837, 1.099999988E+01, 6.233368149E-01, 8.798791436E-02, 1.996317044E-03, 9.521590458E-04, 3.249827938E-03,-3.699308132E-03,-1.962297032E-04,-7.151258934E-02, 4.964584314E-04
       838, 1.299999997E+01, 6.233368149E-01, 8.057675487E-02, 1.633504196E-03, 7.089869138E-04, 3.276626663E-03,-3.633096827E-03,-1.643826361E-04,-4.913912031E-02, 1.012387671E-03
       839, 4.999999929E+00, 6.346543703E-01, 8.345914146E-02, 1.328753010E-03, 2.282918894E-03, 2.568544894E-03, 1.309631983E-02, 1.431310828E-03,-2.515237224E-01,-1.519128370E-02
       840, 6.999999954E+00, 6.346543703E-01, 9.570163521E-02, 2.527454555E-03, 1.814042791E-03, 3.012135775E-03, 1.216561985E-03, 9.578587928E-05,-1.663407130E-01,-5.199711247E-03
       841, 8.999999951E+00, 6.346543798E-01, 9.356567175E-02, 2.378490367E-03, 1.307826591E-03, 3.177883877E-03,-2.589508257E-03,-1.693533026E-04,-1.079398502E-01,-1.158588395E-03
       842, 1.099999988E+01, 6.346543703E-01, 8.717627937E-02, 2.001307279E-03, 9.490041442E-04, 3.245024688E-03,-3.540575934E-03,-1.912545384E-04,-7.191107206E-02, 3.869714901E-04
       843, 1.299999997E+01, 6.346543703E-01, 8.001825319E-02, 1.644558186E-03, 7.079022121E-04, 3.273969272E-03,-3.533446683E-03,-1.627858972E-04,-4.955128813E-02, 9.420468452E-04
       844, 4.999999929E+00, 6.461357329E-01, 8.059714236E-02, 1.153219512E-03, 2.209385905E-03, 2.530369727E-03, 1.359701101E-02, 1.513553145E-03,-2.470869530E-01,-1.538308253E-02
       845, 6.999999954E+00, 6.461357329E-01, 9.379727399E-02, 2.466317709E-03, 1.787384932E-03, 2.993194595E-03, 1.628733537E-03, 1.317757154E-04,-1.654036224E-01,-5.446501574E-03
       846, 8.999999951E+00, 6.461357425E-01, 9.232575758E-02, 2.364191773E-03, 1.298399579E-03, 3.168261334E-03,-2.329470263E-03,-1.552451120E-04,-1.080459142E-01,-1.329910894E-03
       847, 1.099999988E+01, 6.461357329E-01, 8.634846836E-02, 2.005107659E-03, 9.456206877E-04, 3.239919158E-03,-3.380077984E-03,-1.859250426E-04,-7.228439744E-02, 2.766218617E-04
       848, 1.299999997E+01, 6.461357329E-01, 7.944700956E-02, 1.654958941E-03, 7.067086521E-04, 3.271130263E-03,-3.432195621E-03,-1.609916605E-04,-4.995087729E-02, 8.707411390E-04
       849, 4.999999929E+00, 6.577832735E-01, 7.774616041E-02, 9.730521750E-04, 2.135223653E-03, 2.490961856E-03, 1.407051130E-02, 1.595109331E-03,-2.425209434E-01,-1.555105206E-02
       850, 6.999999954E+00, 6.577832735E-01, 9.187679933E-02, 2.401454612E-03, 1.759843720E-03, 2.973396166E-03, 2.036111186E-03, 1.686239027E-04,-1.643759746E-01,-5.687683563E-03
       851, 8.999999951E+00, 6.577832833E-01, 9.106695533E-02, 2.347691903E-03, 1.288487137E-03, 3.158110991E-03,-2.068742498E-03,-1.405038846E-04,-1.081022979E-01,-1.500729975E-03
       852, 1.099999988E+01, 6.577832735E-01, 8.550448027E-02, 2.007673101E-03, 9.420003546E-04, 3.234496512E-03,-3.217896199E-03,-1.802345750E-04,-7.263186572E-02, 1.654864375E-04
