nodenumber,    x-coordinate,    y-coordinate,  axial-velocity, radial-velocity,turb-kinetic-energy,  viscosity-turb,daxial-velocity-dx,dradial-velocity-dx,daxial-velocity-dy,dradial-velocity-dy
      1428, 1.299999997E+01, 4.103140447E+00,-4.177184067E-05,-2.522827425E-03, 1.210178207E-07, 4.787685876E-05, 3.132122167E-06, 7.363085940E-07, 2.961464539E-06, 6.117640945E-04
      1429, 4.999999929E+00, 4.164823726E+00,-1.060968860E-05,-2.430619903E-03, 1.842428522E-09, 4.874763935E-07,-4.165477926E-06,-1.353554484E-05,-7.852888076E-06, 5.878358253E-04
      1430, 6.999999954E+00, 4.164823726E+00,-2.605077401E-05,-2.453606164E-03, 5.804240778E-09, 1.771526626E-06,-9.418857740E-06,-1.192456264E-05, 4.859343841E-06, 5.985937844E-04
      1431, 8.999999951E+00, 4.164823788E+00,-4.183849449E-05,-2.475127088E-03, 2.748588905E-08, 1.497892856E-05,-4.556689460E-06,-7.056085120E-06, 7.876073292E-06, 5.988779681E-04
      1432, 1.099999988E+01, 4.164823726E+00,-4.578273168E-05,-2.484577245E-03, 7.014867136E-08, 3.084622651E-05, 4.982789378E-07,-2.206765552E-06, 5.529408796E-06, 5.960747310E-04
      1433, 1.299999997E+01, 4.164823726E+00,-4.159526896E-05,-2.485657353E-03, 1.180267914E-07, 4.730502567E-05, 3.182359895E-06, 7.081935718E-07, 2.738406409E-06, 5.936763100E-04
      1434, 4.999999929E+00, 4.227399792E+00,-1.108410249E-05,-2.394396670E-03, 1.792829803E-09, 4.889089401E-07,-3.691464521E-06,-1.297209411E-05,-7.317866281E-06, 5.701523029E-04
      1435, 6.999999954E+00, 4.227399792E+00,-2.574249100E-05,-2.416711289E-03, 5.605864686E-09, 1.721950975E-06,-9.134474198E-06,-1.172530557E-05, 4.992113324E-06, 5.808618999E-04
      1436, 8.999999951E+00, 4.227399855E+00,-4.134219747E-05,-2.438208811E-03, 2.656185935E-08, 1.475443251E-05,-4.533153583E-06,-7.052451264E-06, 7.984668861E-06, 5.813230384E-04
      1437, 1.099999988E+01, 4.227399792E+00,-4.543373415E-05,-2.447830085E-03, 6.814277588E-08, 3.041618911E-05, 3.938451840E-07,-2.303082501E-06, 5.623774174E-06, 5.786556470E-04
