      r       	      z       	     U_r      	    U_phi     	     U_z      	   U_r U_r       U_phi U_phi   	   U_z U_z   	   U_r U_phi   	   U_r U_z    	
7.18537039e-01	1.00000000e+00	-2.1132416e-02	-1.5723048e-04	1.13043662e-02	8.55186948e-04	7.17537237e-05	4.05884703e-04	3.30709312e-06	-2.7246696e-04	
7.81147611e-01	1.00000000e+00	-2.0195130e-02	-1.4685173e-04	9.73107227e-03	5.69331198e-04	2.72556457e-05	2.01794888e-04	2.96237971e-06	-2.1107252e-04	
8.45981070e-01	1.00000000e+00	-1.9310558e-02	-1.3720830e-04	8.46291642e-03	4.47668602e-04	1.40166621e-05	1.18299299e-04	2.64305168e-06	-1.7073009e-04	
9.13116334e-01	1.00000000e+00	-1.8488293e-02	-1.2852326e-04	7.37874889e-03	3.80838826e-04	8.72910838e-06	7.70058029e-05	2.36416099e-06	-1.4040008e-04	
9.82635127e-01	1.00000000e+00	-1.7719715e-02	-1.2058116e-04	6.44649414e-03	3.36395604e-04	6.21805742e-06	5.34312661e-05	2.12114343e-06	-1.1650502e-04	
1.05462207e+00	1.00000000e+00	-1.6997573e-02	-1.1331467e-04	5.64174840e-03	3.02836971e-04	4.86501173e-06	3.85553241e-05	1.90817249e-06	-9.7237829e-05	
1.12916479e+00	1.00000000e+00	-1.6316205e-02	-1.0666158e-04	4.94454791e-03	2.75452331e-04	4.05930981e-06	2.85138683e-05	1.72088267e-06	-8.1486004e-05	
1.20635403e+00	1.00000000e+00	-1.5671181e-02	-1.0056432e-04	4.33850459e-03	2.52062988e-04	3.53864811e-06	2.14273438e-05	1.55568229e-06	-6.8489122e-05	
1.28628375e+00	1.00000000e+00	-1.5059003e-02	-9.4970815e-05	3.81014623e-03	2.31542384e-04	3.17839426e-06	1.62771836e-05	1.40956852e-06	-5.7694865e-05	
1.36905124e+00	1.00000000e+00	-1.4476846e-02	-8.9834460e-05	3.34838219e-03	2.13243997e-04	2.91434822e-06	1.24602837e-05	1.28001311e-06	-4.8686695e-05	
1.45475726e+00	1.00000000e+00	-1.3922369e-02	-8.5113784e-05	2.94406525e-03	1.96759480e-04	2.71120515e-06	9.59393344e-06	1.16487740e-06	-4.1142534e-05	
1.54350612e+00	1.00000000e+00	-1.3393556e-02	-8.0771941e-05	2.58962868e-03	1.81807958e-04	2.54848445e-06	7.42221254e-06	1.06234245e-06	-3.4808810e-05	
1.63540588e+00	1.00000000e+00	-1.2888606e-02	-7.6776232e-05	2.27878635e-03	1.68181652e-04	2.41376809e-06	5.76715489e-06	9.70851613e-07	-2.9483046e-05	
1.73056838e+00	1.00000000e+00	-1.2405850e-02	-7.3097635e-05	2.00628553e-03	1.55717630e-04	2.29924168e-06	4.50132449e-06	8.89067299e-07	-2.5001659e-05	
1.82910947e+00	1.00000000e+00	-1.1943693e-02	-6.9710412e-05	1.76770418e-03	1.44282161e-04	2.19982822e-06	3.53142395e-06	8.15834206e-07	-2.1231106e-05	
1.93114911e+00	1.00000000e+00	-1.1500583e-02	-6.6591778e-05	1.55928669e-03	1.33761746e-04	2.11213502e-06	2.78799369e-06	7.50151093e-07	-1.8061351e-05	
2.03681149e+00	1.00000000e+00	-1.1074971e-02	-6.3721620e-05	1.37781051e-03	1.24057587e-04	2.03383631e-06	2.21866342e-06	6.91146648e-07	-1.5400930e-05	
2.14622524e+00	1.00000000e+00	-1.0665304e-02	-6.1082216e-05	1.22047917e-03	1.15082241e-04	1.96329901e-06	1.78358138e-06	6.38059860e-07	-1.3173200e-05	
2.25952355e+00	1.00000000e+00	-1.0269982e-02	-5.8657963e-05	1.08483005e-03	1.06756916e-04	1.89935034e-06	1.45221927e-06	5.90221183e-07	-1.1313359e-05	
2.37684433e+00	1.00000000e+00	-9.8873192e-03	-5.6435539e-05	9.68650972e-04	9.90093669e-05	1.84112901e-06	1.20108144e-06	5.47039896e-07	-9.7660290e-06	
